股票,行业,年化均值,年化波动率,偏度,峰度,最大回撤
000002 万科A,房地产,-0.3194285639576283,0.3626123611009196,0.653676908929156,3.2612558178664557,-0.868502886679589
002594 比亚迪,汽车,0.29824039840728156,0.4310901079058255,0.3085236123395792,2.1055978230195533,-0.5253527764686312
601127 赛力斯,汽车,0.3271081446730392,0.6168699563656214,0.35801789723666927,0.8576150915752336,-0.7171218602610507
002352 顺丰控股,物流,0.006894813714367901,0.32247261728538285,0.3812097283624414,3.6063773077678394,-0.7077282221403121
000858 五粮液,白酒,-0.041408093228484495,0.3437918961873228,0.09233484955599437,3.3547943475857505,-0.7061416166435791
600519 贵州茅台,白酒,0.050526733936984286,0.27616923232939977,0.2586270681674589,3.624636586674736,-0.4748216239988071
601088 中国神华,能源,0.22580238067915293,0.2995399806408721,0.31212167779867633,3.2365018946811337,-0.21451204055766793
300308 中际旭创,通讯,0.5453578727744324,0.5893044332805016,0.5395816457631665,3.961968805982237,-0.6455575716112912
600036 招商银行,银行,0.040348118313039444,0.27563044676964454,0.26770860800587254,3.206725059633796,-0.5093804246227801
601398 工商银行,银行,0.09136896432137975,0.16263344181032394,0.4524922640705011,5.7640557274992545,-0.2016806722689075
