日期,指标代码,指标名称,数值,单位,频率,来源
2024-11-09,CPI_YOY,CPI同比增速,0.3,%,月度,AkShare: ak.macro_china_cpi_yearly()
2024-12-09,CPI_YOY,CPI同比增速,0.2,%,月度,AkShare: ak.macro_china_cpi_yearly()
2025-01-09,CPI_YOY,CPI同比增速,0.1,%,月度,AkShare: ak.macro_china_cpi_yearly()
2025-02-09,CPI_YOY,CPI同比增速,0.5,%,月度,AkShare: ak.macro_china_cpi_yearly()
2025-03-09,CPI_YOY,CPI同比增速,-0.7,%,月度,AkShare: ak.macro_china_cpi_yearly()
2025-04-10,CPI_YOY,CPI同比增速,-0.1,%,月度,AkShare: ak.macro_china_cpi_yearly()
2025-05-10,CPI_YOY,CPI同比增速,-0.1,%,月度,AkShare: ak.macro_china_cpi_yearly()
2025-06-09,CPI_YOY,CPI同比增速,-0.1,%,月度,AkShare: ak.macro_china_cpi_yearly()
2025-07-09,CPI_YOY,CPI同比增速,0.1,%,月度,AkShare: ak.macro_china_cpi_yearly()
2025-08-09,CPI_YOY,CPI同比增速,0.0,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-01-02,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9638,人民币/美元,日度,Frankfurter API
2020-01-03,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9716,人民币/美元,日度,Frankfurter API
2020-01-06,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9724,人民币/美元,日度,Frankfurter API
2020-01-07,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9425,人民币/美元,日度,Frankfurter API
2020-01-08,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9441,人民币/美元,日度,Frankfurter API
2020-01-09,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9317,人民币/美元,日度,Frankfurter API
2020-01-10,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9221,人民币/美元,日度,Frankfurter API
2020-01-13,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.8935,人民币/美元,日度,Frankfurter API
